step,scored,puck_x,puck_y,puck_vx,puck_vy
185307,0,173.80,513.48,83.60,928.99
188556,1,159.43,35.78,355.70,-851.85
188802,0,139.96,513.01,-382.32,389.58
190453,0,176.65,515.39,-782.03,258.13
192933,0,155.40,508.54,458.63,731.22
193860,0,144.30,511.48,-505.28,413.97
194690,0,122.26,501.82,-20.75,933.13
195931,1,197.42,39.17,-97.79,-841.52
196204,1,206.60,25.92,-519.37,-489.01
196346,0,163.64,512.59,606.33,678.39
198000,1,199.17,23.77,451.30,-372.77
198353,1,121.77,26.40,409.14,-462.69
198591,0,187.69,508.88,-609.23,432.04
199451,0,176.91,513.68,-652.09,355.38
200625,0,140.01,507.94,-615.90,593.04
202598,0,182.50,505.72,342.82,758.42
204387,1,126.33,29.55,453.39,-510.26
204626,1,140.75,24.23,-285.52,-410.24
204681,1,183.32,24.12,-276.75,-879.50
204780,1,196.69,24.71,-516.45,-267.37
204851,0,196.96,512.61,-218.23,291.68
206824,1,150.88,25.21,-752.26,-476.70
206972,0,175.87,502.10,-328.91,876.48
207860,0,138.16,507.63,-537.64,617.13
210503,0,130.29,502.12,-136.72,854.10
211532,1,107.22,31.77,662.92,-484.70
211718,0,109.00,508.35,714.67,443.08
215147,0,213.71,508.56,-541.43,510.49
217599,1,128.03,26.90,-723.70,-464.36
217764,0,141.30,515.20,366.81,538.85
218669,0,190.61,516.48,204.15,910.76
220406,0,148.37,510.73,479.14,781.14
222054,1,173.72,36.22,-65.72,-713.82
222364,1,189.34,34.70,-574.15,-714.40
222408,0,161.29,514.24,437.97,535.52
223410,1,182.38,27.25,474.25,-779.34
223578,0,183.09,508.75,-91.53,544.24
226128,1,131.72,29.85,559.71,-471.92
226307,1,137.36,27.88,405.65,-292.36
226388,1,147.27,31.39,514.79,-752.74
226486,1,151.77,29.74,-176.46,-837.88
226659,1,183.68,29.12,-769.92,-460.43
226856,0,140.85,511.69,-528.51,679.50
230037,0,169.67,514.30,-655.55,283.03
231829,1,125.82,28.60,-312.79,-619.52
232015,1,143.92,30.28,315.25,-790.30
232495,1,164.42,36.03,-500.30,-734.41
232675,0,151.49,500.25,336.54,871.58
233591,1,138.00,28.66,289.55,-801.88
233798,1,153.38,38.81,-137.35,-842.15
234069,1,166.51,26.01,923.08,-216.36
234150,0,122.46,511.08,-186.08,337.44
235159,1,155.21,25.45,-809.67,-1412.32
235380,1,128.51,30.39,422.00,-635.17
236087,0,123.99,507.59,538.61,637.06
237818,1,120.88,34.09,503.92,-558.47
237935,0,143.73,513.68,-653.14,609.19
239234,1,138.48,25.22,-162.37,-835.80
239297,1,146.95,24.64,244.86,-790.65
239430,1,124.94,34.83,-440.77,-601.05
239484,0,170.87,508.48,-571.71,574.65
241139,1,184.50,24.74,-214.36,-746.52
241281,0,133.59,501.48,-224.72,819.58
242256,1,138.02,32.63,463.50,-700.39
242378,1,124.89,27.29,585.36,-320.34
242463,0,179.59,503.39,167.60,835.93
244981,0,131.88,511.23,477.72,678.87
248408,0,133.60,512.43,485.27,243.44
249397,0,130.93,510.18,-351.79,765.42
253725,0,132.92,515.07,21.86,370.33
255463,1,173.40,32.98,-558.81,-665.73
255569,1,113.35,27.18,1204.04,-662.51
255892,1,170.75,29.50,-849.95,-422.94
255964,1,155.08,25.29,647.66,-256.60
256006,1,119.91,41.31,-55.91,-942.66
256479,0,135.03,508.72,-437.78,808.15
257447,0,205.82,512.74,-301.72,269.44
258301,1,116.24,29.80,201.60,-457.91
258714,1,204.17,31.90,-314.22,-882.85
258921,1,147.23,27.09,-771.04,-451.20
259048,0,189.76,509.76,-696.83,569.16
261656,0,143.39,516.35,-367.87,465.28
262611,1,163.47,30.40,510.50,-663.85
262801,0,164.19,507.53,-471.08,680.25
266109,0,140.00,504.00,175.10,917.42
267082,0,169.51,512.62,-463.31,237.49
268124,0,207.24,511.25,-609.87,661.90
270754,0,191.19,516.13,-243.75,902.91
271708,0,140.91,510.42,-455.28,792.41
272538,0,187.59,511.90,109.57,926.28
273378,0,161.23,507.05,515.01,635.38
275115,1,171.06,33.35,-296.78,-873.72
275209,0,185.22,512.17,463.97,790.34
276049,1,189.44,41.63,67.49,-941.90
276109,1,137.19,29.30,166.75,-572.39
276299,1,156.04,24.55,-199.84,-211.79
276429,1,121.23,33.76,406.92,-602.39
276665,1,174.82,33.77,-569.75,-717.56
276826,1,209.70,29.46,-543.52,-410.72
276908,0,201.67,515.38,-593.54,631.89
283352,1,191.33,28.37,-246.48,-904.76
283843,1,169.28,32.36,-387.85,-590.68
283898,1,160.54,35.21,-332.21,-861.18
284215,1,159.16,38.29,-164.42,-843.07
284345,0,167.32,513.58,438.27,803.91
286229,0,166.68,510.84,465.01,538.17
291218,1,114.80,25.60,548.60,-492.75
291248,0,118.60,508.70,-109.81,926.57
292897,1,111.48,33.92,455.53,-754.51
293206,0,129.09,509.66,465.48,417.42
294450,1,183.28,36.71,-489.03,-814.09
294719,0,112.52,509.81,460.85,794.96
298026,0,189.85,516.81,-551.66,722.17
299679,1,112.21,28.60,785.02,-421.66
299784,0,130.77,509.44,670.96,394.16
300972,0,191.41,513.16,337.24,447.45
301856,0,134.07,503.05,-313.39,863.82
302698,1,158.88,27.14,-260.17,-906.79
302747,1,163.67,37.40,402.33,-827.69
302835,0,184.83,516.08,523.77,742.98
303803,1,158.02,30.70,-445.01,-834.31
303886,0,201.49,502.33,-224.32,905.36
304771,0,130.21,506.86,533.48,735.12
306628,0,150.83,510.29,-453.20,563.53
310756,0,186.99,512.60,-286.80,880.11
315789,1,119.55,35.26,83.09,-848.41
315845,1,132.32,24.89,680.61,-500.40
315991,0,163.73,513.76,72.49,930.54
318544,0,140.35,502.57,-346.86,852.59
319570,1,118.83,32.40,-101.45,-899.38
319608,0,168.32,509.29,-801.17,389.54
320740,0,117.82,510.85,708.86,403.09
321748,0,148.77,514.89,540.28,559.34
322956,1,154.36,35.85,-122.34,-764.20
323014,1,184.73,24.21,-670.95,-593.18
323176,1,156.17,28.68,-150.73,-839.71
323281,1,217.79,33.91,-745.88,-557.71
323516,1,138.29,35.45,-639.67,-701.08
323615,0,179.40,513.77,-291.11,196.43
324638,1,125.67,29.66,-654.78,-536.01
324876,1,194.40,27.15,-425.01,-715.44
325238,0,155.94,516.19,-374.38,310.93
326142,0,177.34,515.11,-414.50,438.87
327147,1,191.03,26.46,192.77,-833.70
327392,0,131.49,509.92,-576.72,437.39
328243,0,160.69,511.63,526.21,295.42
329095,0,114.32,507.70,407.98,754.66
330011,1,202.39,37.23,-371.15,-850.89
330292,1,134.91,32.59,-385.89,-865.67
330391,0,184.38,508.98,637.90,699.27
334698,0,171.69,514.60,568.27,442.34
335652,0,109.98,511.37,684.60,349.96
338401,0,187.08,513.50,568.37,701.65
339705,1,121.71,23.84,145.63,-186.09
339836,0,178.50,516.83,416.06,452.31
341566,1,195.19,34.16,-506.58,-755.97
341761,0,137.50,515.92,-353.18,458.80
342991,0,127.12,515.44,-335.59,443.83
344685,0,187.38,505.30,52.38,700.72
347979,0,124.93,511.09,634.63,571.11
351240,1,138.89,26.51,-566.51,-1291.26
351477,0,146.54,512.76,-1715.76,669.08
354014,0,160.97,506.43,-473.64,659.79
356549,1,162.67,26.96,251.79,-891.67
356756,0,131.93,508.49,324.12,866.00
363408,1,182.65,23.95,204.31,-466.82
363580,0,177.00,512.80,-397.06,557.47
367958,1,139.91,25.82,-732.56,-290.48
368286,1,151.28,32.92,340.46,-760.55
368440,1,151.85,40.39,-291.91,-899.72
368490,0,131.98,509.59,-534.09,606.20
370416,0,172.59,513.55,445.11,793.53
371261,1,165.93,25.18,-166.33,-912.33
371306,1,162.75,26.02,257.67,-907.50
371382,0,185.10,504.81,-20.38,931.58
373028,1,186.90,24.32,468.77,-785.66
373076,1,195.72,32.34,-657.88,-684.47
373521,1,160.09,36.62,79.70,-780.01
373661,0,126.20,513.29,-529.58,638.76
378122,0,188.84,511.73,69.99,509.22
379918,0,162.27,509.11,-466.71,783.38
383454,1,189.91,28.83,-640.00,-338.70
383576,1,167.71,24.37,138.31,-837.24
383624,0,204.89,509.03,-332.54,876.79
384634,1,134.57,32.18,-525.70,-579.30
384724,1,135.06,23.30,73.01,-924.90
384797,1,170.64,28.14,-698.97,-327.61
385014,0,132.94,500.26,30.80,935.97
386129,1,179.37,25.33,-308.72,-133.65
