step,ep_return_mean,ep_length_mean,q_loss,pi_loss,alpha,entropy
1040000,0.0444,488.55,0.3272,-2.3914,0.0498,0.9768
1045000,0.6832,515.15,0.3959,-2.2964,0.0498,1.0343
1050000,3.6568,323.65,0.1530,-2.4920,0.0498,1.0266
1055000,0.5327,444.95,0.5623,-2.7625,0.0498,0.9397
1060000,1.6718,486.75,0.2277,-2.7192,0.0498,0.8888
1065000,2.2117,464.10,0.1312,-2.6660,0.0498,0.9788
1070000,4.7113,303.25,0.1554,-2.5502,0.0498,0.9008
1075000,7.4794,268.10,0.1113,-2.3881,0.0498,0.9713
1080000,5.8794,320.55,0.2427,-2.2899,0.0498,0.9759
1085000,3.9900,403.50,0.3769,-2.5335,0.0498,0.9817
1090000,-1.1956,534.30,0.2779,-2.0362,0.0498,0.9499
1095000,-1.3547,674.10,0.2078,-1.9384,0.0498,0.9318
1100000,-1.4650,625.80,0.1389,-2.4860,0.0498,0.9886
1105000,-1.4723,602.40,0.1586,-2.6969,0.0498,0.9971
1110000,0.5956,506.75,0.1298,-2.9630,0.0498,1.0394
1115000,4.7821,312.35,0.1309,-2.5570,0.0498,1.0332
1120000,5.7823,329.00,0.2303,-2.9191,0.0498,0.9547
1125000,4.3599,454.05,0.2301,-2.2001,0.0498,1.0481
1130000,1.2315,515.30,0.1521,-2.8532,0.0498,0.9828
1135000,-0.2528,706.35,0.1699,-2.2417,0.0498,1.0300
1140000,0.6753,627.85,0.1820,-2.4248,0.0498,0.9605
1145000,2.7841,443.75,0.2485,-2.1663,0.0498,0.9589
1150000,1.8018,426.55,0.4118,-2.4023,0.0498,0.9320
1155000,0.7232,435.45,0.1695,-2.1278,0.0498,0.9582
1160000,1.1124,357.25,0.2545,-2.6883,0.0498,1.0020
1165000,2.0754,408.60,0.3694,-2.4678,0.0498,0.9503
1170000,-0.4099,588.10,0.1450,-2.6258,0.0498,0.9460
1175000,-0.8866,544.10,0.2023,-2.7818,0.0498,0.9383
1180000,-0.3846,434.80,0.0877,-2.8052,0.0498,0.8886
1185000,1.7346,489.10,0.1882,-2.8129,0.0498,1.0405
1190000,0.7363,520.70,0.1760,-2.5789,0.0498,0.9871
1195000,-0.7296,493.85,0.1741,-2.5918,0.0498,1.0379
1200000,-0.2681,517.05,0.2554,-1.9987,0.0498,0.9162
1205000,1.4786,460.35,0.3585,-2.3986,0.0498,0.9522
1210000,3.5101,387.65,0.3119,-2.6363,0.0498,1.0042
1215000,2.3270,448.25,0.4882,-2.4812,0.0498,1.0814
1220000,-0.2550,531.25,0.0992,-2.8203,0.0498,1.0521
1225000,-0.4054,566.20,0.6856,-2.5351,0.0498,1.0542
1230000,0.0917,564.85,0.1917,-3.1314,0.0498,1.0308
1235000,-0.3112,508.00,0.1904,-2.4572,0.0498,0.8456
1240000,-1.8124,534.45,0.2063,-2.8738,0.0498,0.9050
1245000,-0.3831,539.20,0.2404,-2.6435,0.0498,0.9855
1250000,-0.2818,562.95,0.1529,-2.6176,0.0498,1.0655
1255000,-1.8569,553.10,0.1773,-2.3390,0.0498,0.8960
1260000,1.3882,445.40,0.1622,-2.6343,0.0498,1.0558
1265000,4.7136,428.10,0.3231,-2.6454,0.0498,1.0496
1270000,2.4063,516.30,0.3824,-2.4111,0.0498,0.9598
1275000,2.5696,434.95,0.1890,-2.4665,0.0498,1.0432
1280000,3.1502,372.90,0.9262,-2.8561,0.0498,0.9661
1285000,3.8581,421.40,0.0992,-2.8843,0.0498,1.0232
1290000,2.3042,450.60,0.2300,-2.7228,0.0498,0.9224
1295000,2.6425,360.80,0.3810,-2.6027,0.0498,0.9483
1300000,2.2918,442.75,0.0988,-2.8173,0.0498,1.0666
1305000,1.9448,524.25,0.5024,-2.3971,0.0498,1.0335
1310000,4.1658,343.15,0.2269,-2.4707,0.0498,1.0362
1315000,3.2355,377.15,0.7784,-2.5136,0.0498,1.0261
1320000,1.6761,495.60,0.2225,-3.0983,0.0498,0.9359
1325000,1.2837,526.15,0.1389,-2.1291,0.0498,1.0530
1330000,4.2664,366.75,0.1616,-2.5427,0.0498,0.9268
1335000,1.1816,437.75,0.1791,-2.5772,0.0498,1.1069
1340000,0.7233,547.55,0.4478,-2.7796,0.0498,0.9770
1345000,0.6480,461.25,0.1056,-2.5739,0.0498,1.0581
1350000,1.6249,388.80,0.1478,-2.2139,0.0498,1.0229
1355000,0.0794,498.55,0.0985,-2.6810,0.0498,1.0826
1360000,-2.5141,583.85,0.2783,-2.6288,0.0498,1.0463
1365000,-1.5078,486.30,0.1506,-2.5867,0.0498,1.0491
1370000,-1.7690,470.40,0.1478,-2.8675,0.0498,0.9312
1375000,-0.6954,573.25,0.1467,-2.7996,0.0498,1.0237
1380000,5.4884,530.85,0.2428,-2.6550,0.0498,0.9344
1385000,5.5361,485.05,0.2434,-2.8761,0.0498,0.9260
1390000,5.3704,502.85,0.2785,-2.4001,0.0498,0.9104
1395000,8.2952,495.25,0.5121,-2.9195,0.0498,1.0532
1400000,1.2341,381.85,0.1348,-2.2154,0.0498,0.9830
1405000,0.7205,490.45,0.2829,-2.6754,0.0498,0.9088
1410000,-1.9930,545.05,0.1293,-2.5952,0.0498,1.0887
1415000,2.0756,322.10,0.1860,-2.4981,0.0498,0.9103
1420000,4.7862,349.75,1.1986,-2.5886,0.0498,1.1216
1425000,2.2979,494.00,0.1748,-2.9626,0.0498,1.0065
1430000,0.6129,550.70,0.3454,-2.3819,0.0498,1.0087
1435000,-0.4741,648.15,0.7063,-2.4670,0.0498,0.9901
1440000,0.5597,584.40,0.4974,-2.4403,0.0498,1.0418
1445000,2.8875,445.90,0.0867,-2.5640,0.0498,1.0435
1450000,1.3817,474.40,0.3048,-2.5661,0.0498,1.0240
1455000,0.7078,526.60,0.2275,-2.6274,0.0498,1.0312
1460000,5.7289,379.50,0.1362,-2.7616,0.0498,1.0653
1465000,4.7771,396.70,0.1190,-2.3257,0.0498,0.9236
1470000,2.8205,423.85,0.2286,-2.6682,0.0498,1.0118
1475000,1.8722,445.25,0.3635,-3.1194,0.0498,0.9696
1480000,4.3887,396.70,0.3116,-2.6972,0.0498,1.0147
1485000,2.6815,406.80,0.2195,-2.8418,0.0498,0.9917
1490000,5.4408,566.30,0.1400,-2.6826,0.0498,1.0382
1495000,8.9374,364.35,0.2016,-2.7158,0.0498,0.9542
1500000,4.3134,307.75,0.3952,-2.0058,0.0498,1.0252
1505000,1.2358,439.45,0.4437,-2.5606,0.0498,1.0310
1510000,-0.8539,561.30,0.3649,-2.9802,0.0498,1.0067
1515000,-0.3941,547.05,0.2448,-2.7594,0.0498,0.9905
1520000,2.7704,474.20,0.1534,-2.9347,0.0498,1.0185
1525000,3.1334,355.85,0.5688,-2.8018,0.0498,1.0171
1530000,2.6244,403.60,0.2653,-2.4548,0.0498,0.9440
1535000,2.6495,474.30,0.3023,-2.9706,0.0498,0.9859
1540000,1.6507,519.25,0.6338,-2.6297,0.0498,1.0294
1545000,1.3108,508.40,0.1611,-2.4671,0.0498,0.9367
1550000,4.4251,629.45,0.2010,-2.3578,0.0498,1.0374
1555000,3.9316,537.40,0.1270,-2.7933,0.0498,1.0203
1560000,2.2482,530.90,0.2091,-2.4678,0.0498,1.0591
1565000,-0.8616,555.85,0.2662,-2.5605,0.0498,1.0490
1570000,7.1529,507.00,0.1249,-2.7723,0.0498,1.0344
1575000,8.2134,564.05,0.0969,-2.8909,0.0498,1.1401
1580000,4.3412,565.15,0.1258,-2.7113,0.0498,1.0771
1585000,-0.3976,546.95,0.1024,-2.6171,0.0498,1.0321
1590000,2.7654,404.20,0.2718,-2.5563,0.0498,0.8921
1595000,5.0704,353.30,0.1213,-2.5051,0.0498,1.0941
1600000,3.3995,361.70,0.1655,-2.8455,0.0498,1.0504
1605000,1.2003,492.00,0.1614,-2.6136,0.0498,1.0546
1610000,-0.9736,602.75,0.5844,-2.6960,0.0498,0.9212
1615000,1.5198,562.10,1.0535,-2.4998,0.0498,1.0830
1620000,4.2014,426.05,0.0997,-2.6065,0.0498,1.0428
1625000,7.6251,427.40,1.1130,-2.5120,0.0498,1.0245
1630000,10.6006,395.10,0.1610,-2.8103,0.0498,0.9667
1635000,2.1596,365.80,0.5034,-2.6727,0.0498,1.0078
1640000,0.6261,455.60,0.0926,-2.7223,0.0498,1.0802
1645000,2.6697,449.05,0.1260,-2.5887,0.0498,0.9157
1650000,-0.2023,500.55,0.1507,-2.7248,0.0498,0.9845
1655000,-0.6017,568.10,0.4939,-2.5457,0.0498,1.0097
1660000,-0.7631,536.00,0.2676,-2.6439,0.0498,1.0120
1665000,-0.7245,560.50,0.1426,-2.8351,0.0498,1.0896
1670000,-0.2495,548.70,0.1087,-3.0097,0.0498,1.0104
1675000,1.2300,474.70,0.2279,-2.4691,0.0498,0.9653
1680000,4.8250,414.85,0.5186,-2.8625,0.0498,0.9759
1685000,3.7280,465.95,0.3874,-2.5358,0.0498,1.0769
1690000,2.3285,466.15,0.5671,-2.3338,0.0498,0.9321
1695000,0.9654,467.95,0.2011,-2.4503,0.0498,1.0613
1700000,-1.7366,532.70,0.1594,-2.6960,0.0498,1.0071
1705000,-1.4642,570.65,0.1565,-2.7199,0.0498,0.9329
1710000,0.0568,601.20,0.2613,-2.6522,0.0498,1.0662
1715000,0.0331,539.25,0.3504,-2.6354,0.0498,1.1009
